RPM,Power(HP)
8786.885246,288
8991.803279,304
8899.590164,294
9104.508197,310
9176.229508,315
9247.95082,319
9319.672131,323
9370.901639,328
9411.885246,332
9493.852459,339
9575.819672,341
9657.786885,346
9750,352
9821.721311,359
9913.934426,368
10057.37705,375
10139.34426,381
10190.57377,383
10272.54098,390
10375,395
10436.47541,399
10497.95082,404
10549.18033,412
10620.90164,415
10702.86885,423
10702.86885,424
10743.85246,430
10795.08197,437
10836.06557,444
10918.03279,450
11000,455
11051.22951,468
11092.21311,477
11163.93443,490
11245.90164,502
11317.62295,511
11348.36066,519
11379.09836,524
11440.57377,539
11461.06557,540
11543.03279,548
11563.52459,550
11594.2623,550
11665.98361,553
11676.22951,555
11706.96721,557
11737.70492,560
11778.68852,564
11819.67213,566
11840.16393,570
11891.39344,573
11911.88525,573
11993.85246,577
12024.59016,579
12045.08197,582
12178.27869,593
12219.2623,597
12280.7377,600
12342.21311,608
12383.19672,611
12454.91803,615
12495.90164,619
12547.13115,622
12608.60656,628
12649.59016,631
12690.57377,635
12731.55738,637
12782.78689,640
12844.2623,642
12875,646
12915.98361,646
12946.72131,651
13049.18033,666
13131.14754,673
13223.36066,682
13346.31148,693
13469.2623,700
13530.7377,708
13643.44262,713
13745.90164,715
13807.37705,720
13868.85246,724
13920.08197,726
13930.32787,728
13981.55738,728
14053.27869,731
14206.96721,735
14227.45902,742
14288.93443,749
14401.63934,758
14483.60656,766
14596.31148,771
14678.27869,777
14801.22951,786
14893.44262,791
14965.16393,793
15036.88525,795
15057.37705,795
15077.86885,795
15129.09836,797
15180.32787,797
15252.04918,799
15323.77049,804
15426.22951,808
15446.72131,811
15579.91803,819
15641.39344,822
15733.60656,826
15815.57377,828
15918.03279,829
16000,831
16092.21311,835
16133.19672,835
16184.42623,837
16194.67213,837
16225.40984,839
16276.63934,839
16368.85246,839
16471.31148,839
16584.01639,840
16686.47541,842
16758.19672,844
16788.93443,844
16881.14754,844
16901.63934,844
16922.13115,844
16963.11475,844
16973.36066,844
